name;price;price_per_kg;store;url;image
Sac Poubelle Liens 50L ALFAPAC;3.20;0;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/sac-poubelle-liens-50l-alfapac-3232767370509;./Carrefour_files/3232767370509_1.jpg
Sac poubelle lien coulissant 30L ALFAPAC;2.95;0;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/sac-poubelle-lien-coulissant-30l-alfapac-3232767370301;./Carrefour_files/3232767370301_1.jpg
Sac Poubelle 50L ALFAPAC;2.85;0;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/sac-poubelle-50l-alfapac-3232767510509;./Carrefour_files/3232767510509_1.jpg
Sac Poubelle Salle de Bain 10L ALFAPAC;1.89;0;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/sac-poubelle-salle-de-bain-10l-alfapac-3232767300117;./Carrefour_files/03232767300117_A1N1_s02.png
Tranches Végétales Fondantes RICHES MONTS;3.95;19;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/tranches-vegetales-fondantes-riches-monts-3176582087399;./Carrefour_files/03176582087399_C1L1_s06.png
Tranches saveur Emmental 100% végétal VIOLIFE;2.20;11;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/tranches-saveur-emmental-100-vegetal-violife-5202390024214;./Carrefour_files/05202390024214_C1N1_s05.jpeg
Tranches saveur Cheddar 100% végétal VIOLIFE;2.32;11;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/tranches-saveur-cheddar-100-vegetal-violife-5202390015885;./Carrefour_files/05202390015885_C1N1_s08.jpeg
Jambon le Supérieur conservation sans nitrite FLEURY MICHON;2.35;16;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/jambon-le-superieur-conservation-sans-nitrite-fleury-michon-3302740047367;./Carrefour_files/03302740047367_H1N1_s31.jpeg
Tranches Végétales Lentilles Corail FLEURY MICHON;2.29;19;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/tranches-vegetales-lentilles-corail-fleury-michon-3302740087059;./Carrefour_files/03302740087059_H1N1_s07.jpeg
Tranches Végétales de Pois Chiches FLEURY MICHON;2.29;19;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/tranches-vegetales-de-pois-chiches-fleury-michon-3302740087042;./Carrefour_files/03302740087042_H1N1_s07.jpeg
Tranches Végétales haricots Blancs FLEURY MICHON;2.29;19;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/tranches-vegetales-haricots-blancs-fleury-michon-3302740087103;./Carrefour_files/03302740087103_H1N1_s10.jpeg
Tranches Végétales Haricots Rouges FLEURY MICHON;2.29;19;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/tranches-vegetales-haricots-rouges-fleury-michon-3302740100796;./Carrefour_files/03302740100796_H1N1_s05.jpeg
Tranches végétales saveur piment NURISHH;1.95;16;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/tranches-vegetales-saveur-piment-nurishh-3073781178838;./Carrefour_files/03073781178838_A1N1_s04.jpeg
Fromage Raclette Alternative 100% Végétale VIOLIFE;3.49;17;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/fromage-raclette-alternative-100-vegetale-violife-5202390031861;./Carrefour_files/05202390031861_C1N1_s02.png
Pastrami au Poivre Tranches Fines FLEURY MICHON;3.59;35;Carrefour;https://www.carrefour.frhttps://www.carrefour.fr/p/pastrami-au-poivre-tranches-fines-fleury-michon-3095758097010;./Carrefour_files/03095758097010_H1N1_s31.jpeg
